,sentence,cat
33,"This bracelet is actually really pretty, but I have to give it three stars because it broke only after a few hours of wear...I couldn't fix it, so I don't know what to do with the bracelet...",3.0
34,They look SUPER cute on but they're very flimsy and delicate.,-1.0
35,"They scratch incredibly easy and they slip off your face because they're a little loose/big but aesthetically, they're gorgeous.",3.0
36,"I bought it for the ""stretch"", but it's too loose and stretches too much.",3.0
37,Over a couple washes the pictures started fading so I wasn't too happy with that but it was good while it lasted.,3.0
38,It was a gift for my boyfriend so he didn't really know how to wash it either.,-1.0
39,A tip for that would be wash inside out!,-1.0
40,Light weight pajama material.,3.0
41,"Love that they have pockets, hate that after the first wash the logo started fading.",3.0
42,Good pants for around the house.,-1.0
43,Although I wouldn't pay this price for these again.,-1.0
44,"Hood too small, or my head is too big.",1.0
45,"Very pretty, but much too big for the wrist of a young girl.",1.0
46,Slipped off too easily.,-1.0
47,"I use it for water aerobics and its life span is short, 2 to 3 months, needs a bit more of polyester to increase its life.",3.0
48,Have tried other brands and there appears to be a fine line between durability and comfortabity (fit) based on amount of polyester.,3.0
49,"These are very cute but because they ran so small and they were out of the next largest size, my grandson will not get as much wear out of them as I would've liked.",1.0
50,Fortunately he has a younger brother ..........,-1.0
51,Fabric is a rather rough synthetic and too heavy for a sleeveless shirt that you would ideally wear in summer.,3.0
52,"Also, this is the kind of synthetic fabric that turns your sweat, which it will absorb because the underarm cut is HIGH, into something much worse smelling than your sweat.",3.0
53,"I really don't like this fabric, but the cut is pretty and if you're indoors, or out at night I suppose it would work.",3.0
54,Doesn't look like picture.,2.0
55,Love the dress I just didn't realize the shoulders would be a little pointy.,-1.0
56,Although I love this dress!,-1.0
57,They broke after two months of light wear.,3.0
58,The screws were loose to begin with and didn't last.,3.0
59,I like this bathing suit but it does have some problems.,-1.0
60,"First off, the company sent me the wrong print which wasn't too much of a problem seeing as the print I received was my second choice but be warned that it could happen to you.",2.0
61,The whole suit is a bit tight especially the bottoms which enhanced the cheeky effect more than I desired.,1.0
62,The top made my chest look great and I love that the bathing suit is reversible.,-1.0
63,"For the price, this was a good purchase but be careful about what size you order and consider going up a size or two.",1.0
64,A different material than expected.,3.0
65,Wouldn't have purchased it.,-1.0
66,It was sewn poorly,3.0
67,The cut isn't as deep as the picture shows which some may prefer anyway.,3.0
68,It runs small so order up a size.,1.0
69,I ordered the XL and it just fits.,1.0
70,"For reference, I am 5'2, 134lb, 38-35-40.",-1.0
71,The designs are cute but the Namaste shirt itself had two holes in the back of the shirt that weren't noticeable with the burnout design until I put the shirt on.,3.0
72,I only give it 3 stars because i only wore it 3 times and it already ripped.,3.0
73,But i love the fit.,1.0
74,I wish it would have lasted longer,3.0
75,"The bottoms would have been better a size bigger, but I'm keeping it!",1.0
76,Material is thin but works well for layering.,3.0
77,"Very cute shirt, love the color, purchased the blue.",2.0
78,The tag placement in the front is very annoying.,3.0
79,Can wear with a regular bra.,-1.0
80,I normally wear a medium or large depending on how it is made.,1.0
81,I purchased a xl and it is still to small.,1.0
82,Not the material I was expecting.,3.0
83,The pants run small.,1.0
84,I decide to use them as lounge wear/ PJ's.,3.0
85,Size was bigger than expected,1.0
86,Fits a little odd,1.0
87,"It's pretty but it arrived too late, so I could use it for the event.",0.0
88,Love the color and all the pockets but 1 of the seams had already started to come unsewn when I got it so that the front flap was coming off.,-1.0
89,Luckily I have a sewing machine and think I can stitch it back because I don't want to hassle with returning it and reordering it etc...,-1.0
90,I ordered the aqua color sweater and it is not as bright as the photo.,2.0
91,The neckline is also very close to the neck.,1.0
92,The overall material is nice but it is an odd shape and very boxy.,3.0
93,Fair product but the original stainless steel,-1.0
94,"Dress is adorable, fabric nice, detailing & workmanship is fine BUT it arrived with no tags whatsoever.",3.0
95,I don't know if its the size I ordered or not but it is too tight in the chest/bust area.,1.0
96,I ordered a size larger than I normally take to accomodate my size Ds but this dress was waaaay too tight.,1.0
97,I used their size guide & went one bigger hoping it would fit.,1.0
98,"No idea how to return it, nothing to indicate where or how!",-1.0
99,Unless you are small busted I would find a different dress.,-1.0
100,"It fit and stayed on my bust, but it was so tight around my belly and the rest of me, it wasn't going to work.",1.0
101,It was also very short.,1.0
102,"I'm pretty average height (5'6"") and it only came down to my calves.",1.0
103,"I wanted to love these, but they have not worked out for me.",1.0
104,I ordered the smaller size and they fit too loosely over my glasses.,1.0
105,I constantly have to secure them over my prescription glasses.,-1.0
106,"Plus, the sun gets in to the sides.",-1.0
107,The lens is great though.,-1.0
108,I have had to order solar sunglasses that fit around my glasses for a Florida trip that will protect my eyes better.,-1.0
109,The top is great.,-1.0
110,The bottom is too small.,1.0
111,I ordered a Medium and it fit well.,1.0
112,"It was made kind of sloppy, though.",3.0
113,There is a zipper along the side that flared outwards near the armpit.,-1.0
114,I had to sew it straight (closed it) and the other side seam was not sewn near the last 1/2 inch near the armpit.,-1.0
115,I had to sew that one closed.,-1.0
116,"Overall, taking in both side seams near the armpits was helpful because it flared outwards as if it was too big, only in those spots.",-1.0
117,"The dress is stretchy, so I was still able to slip it over my head after sewing the zipper shut in order to straighten out the sides.",3.0
118,Wearing a bra is difficult with this.,-1.0
119,The back is open in a way that you can't wear a plain bra or one that has straps that cross in the back without the straps being seen either way.,-1.0
120,I resorted to wearing a strapless bra.,-1.0
121,"It's a cute casual dress, but not something I'd wear to a nice event.",-1.0
122,"It definitely arrived quickly, that's true.",0.0
123,But it was way too small for my any of my fingers except my pinky which I'm not too thrilled about and the actual engraving on the ring wasn't that great either.,1.0
124,Sadly I judt wasted my money.,-1.0
125,Fortunately It wasn't that much...,-1.0
126,"Super cute, but way too small.",1.0
127,"I ordered size 6, but it's like a 4.",1.0
128,It's a good thing I have two girls.,-1.0
129,"My 5 years old wore it to school once, but will have to pass it to her 3 years old sister.",1.0
130,"I will keep it to wear as an exercise shirt under another, but not as a bathing suit top.",-1.0
131,Its too small for that.,1.0
132,I even got a size larger than I usually wear.,1.0
133,The socks have a slight roll at the top.,3.0
134,Quality is not very good.,3.0
135,Material is very thin.,3.0
136,So I cut slits in the top and I sleep in it...,-1.0
137,Clothes I've ordered so far don't be the actual size.,1.0
138,"I thought the chain was going to be a little more delicate and it tangles very easily, but other than that i love it!",3.0
139,Also love the little infinity bracelet I received as well!,-1.0
140,Definitely not made for anyone with breasts.,1.0
141,"The plaid pattern is hard to imagine under any dress like a slip, but the entire thing is sheer, so... Not really sure how it's meant to be worn.",-1.0
142,"Too bad though,  it's very cute.",-1.0
143,alot bigger than expexted,1.0
144,They appear much larger than in person.,1.0
145,"But the collar bone was on my chest, the knees were on my thighs, and the legs stopped on my calf.",1.0
146,It worked and it didn't cost much.,-1.0
147,The pendant was fine but the chain is cheaply made and broke a few days after my 9 year old wore it.,3.0
148,shoe is extremely wide.,1.0
149,Bigger in person than I imagined...not good earrings for talking on the phone,1.0
150,I order the color Lace 2 it  was exactly as described on amazon.,2.0
151,I am 5ft 5 about 125 lbs and the small fit nicely with room to spare.,1.0
152,"Very pretty floral lace design lightweight, soft, and comfortable.",3.0
153,"It is gorgeous, but not for me.",-1.0
154,The sleeves are about three-quarter length sleeves.,1.0
155,The material is made out of chiffon which is lightweight and breathable material works well as a beach cover up or as a regular cardigan to protect your skin from the sun.,3.0
156,It can be easily dressed up or down.,-1.0
157,It looks like it is made of high-quality material and the lace detail is very pretty.,3.0
158,"The only complaint is it had a strong weird smell, like dirt or dust my allergies started acting up it caused me to sneeze a lot, but that is just me I have a very sensitive nose.",3.0
159,"I aired it out a bit it helped, but not much I guess you could also wash it.",-1.0
160,According to wash and care instructions you can hand wash it.,-1.0
161,"Nice bathing suit... top runs small, bottom runs big",1.0
162,fits well & looks good.,1.0
163,"However the first time I wore it I was at work when I discovered that on of the seams along the side in the hip area had not been properly sewn and there way about a 2"" hole there.",3.0
164,"It will be an easy fix, but it's not what you expect from something brand new.",-1.0
165,And definitely not what you want to discover while at work.,-1.0
166,Retired it because it was too large.,1.0
167,Omg It doesn't have a lot of Slots this wallet is Perfect on everything but so few slots for id and cards,-1.0
168,The top of this dress does not match the bottom in terms of sizing.,1.0
169,I bought a medium dress and when I put it on the bust area was more of an extra large and the bottom area near a small.,1.0
170,Good quality material though.,3.0
171,I'll keep it and just have the top altered.,-1.0
172,The case is a bit too bulky but it is one of a few that can fit 100mm cigarettes.,1.0
173,It can also hold 2 lighters (one on each side).,-1.0
174,"It is made in China and quality is not the best, but it is quite decent.",3.0
175,"I'm 5'9'', thin to average weight, depending on the brand I can buy jeans size 29 through 32, 31 being the size I get most often and that's the size I ordered for these jeans.",1.0
176,"They fit perfectly, but they are certainly not slim fit or even ""stylish"" (pictures attached).",1.0
177,"The cut is rather straight, I'd say, especially when compared to other slim fit jeans made in Asia that I've gotten through Amazon.",-1.0
178,"They seem to be quite durable, so $20 is a good price for a pair of jeans, it's just not really what I expected regarding how they look.",3.0
179,Stones too large and ring spins so the back side of the ring is always in front.,3.0
180,Decided what I was looking for was a full eternity band to eliminate this problem.,-1.0
181,"Half of the socks fit great, but the other half were way too big.",1.0
182,"It was a set of eight, and I can only wear four of them comfortably.",1.0
183,If they were all the correct size I would have rated higher.,1.0
184,not as attractive on as appears in picture,2.0
185,Be prepared for shreds of material to come out of robe.,3.0
186,"Of course, I washed it before giving it to my grandson but not before shreds of the robe were all over the bedspread where I opened the package.",3.0
187,Very cute top but very very small.,1.0
188,I ordered a large & it fits like a small.,1.0
189,Good price so I will give it to a friend rather than return it.,-1.0
190,"Good design

I prefer the boxer brief style

14% spandex turns out to be more form fitting than I like in a pair of underwear",-1.0
191,The fabric is a little thin for my taste but I would expect it to be cool to wear in warmer weather.,3.0
192,This style is definitely for taller silhouettes.,1.0
193,"I'm 4'10"" and it didn't look great on me, almost clownish, so I returned it and received a full refund.",1.0
194,I'm sure others may find the style flattering and very comfortable.,-1.0
195,Seller is very good and responsive.,-1.0
196,"Very soft, durable and has a laptop sleeve BUT unlike my other backpack with a laptop sleeve, this one is not protected at all.",3.0
197,There's no hardboard backing to the back of this bag so be very careful when you put your laptop in.,-1.0
198,I had to put a legal notepad in the laptop sleeve JUST to give it structure.,-1.0
199,Just be careful of that if you do intend to use this mostly for laptop carrying.,-1.0
200,I use this for grocery-shopping when I need to be on a bike.,-1.0
201,Oh and the strap - at least my left one: CONTINUOUSLY loosens on its own.,3.0
202,The metal rectangle that holds it in place (where you tighten) keeps turning/rotating 90% so it loosens the entire strap and will NOT tighten.,3.0
203,I have to fix it almost 2 out of 3 times I use this bag (even briefly for 1-2 hours each time).,3.0
204,It's kind of annoying especially when you're on your bike weaving in and out of traffic.,-1.0
205,Very cute and still fits but very hard to get in and out of.,1.0
206,need to adjust all the time,-1.0
207,The swimsuit looks great.,-1.0
208,"Good color and fit (I'm a size 8, so I ordered up and got an XL.",-1.0
209,"They shipped a Large, but it fits fine) the only problem I have is the material.",-1.0
210,There is NO WAY this suit is any more than 5% polyester or spandex.,3.0
211,"The material is cheap, cheap, cheap.",3.0
212,It doesn't even feel like it would dry if wet.,3.0
213,"It is made of the same material as the little princess dresses that are ""silk"" that you would buy your 4 year old daughter to play dress up in.",3.0
214,"So, all in all, if you're only interested in buying this swimsuit for the looks, go for it.",-1.0
215,"But if you actually want to swim or get it wet, this is not the suit for you.",-1.0
216,it was flimsy and not as pretty,3.0
217,Nice leather but if you expect to fit your cards in there and be able to get them back out forget it.,2.0
218,The slots are very tight and after struggling to get my cards in it was impossible to get them out.,-1.0
219,"When you do get them in, the center part that should have been for cash (bills) can't be used because you can no longer push on the sides to open it up.",-1.0
220,Runs big should have got a smaller size.,1.0
221,Asides from that it was beautiful,2.0
222,It was not what I expected.,2.0
223,It photographs great but when I received it I found the material to be cheap.,3.0
224,I wasn't pleased and didn't wear it.,-1.0
225,I probably will but I wasn't impressed.,-1.0
226,But still a little tight in the top and bottom areas.,1.0
227,"Wish all over seas company's would understand that American women, most of them, come in large sizes.",1.0
228,Meaning a size 16 here is the same as their XXXLarge.in most cases.,1.0
229,"With all of the over seas Companies making each size different, its hard to figure out what size to order from them  In the USA,  a size 16 is what it says.",1.0
230,Not impressed w the fabric.,3.0
231,Too warm for the summer on a hot day.probably would look best on a very thin body as the dress is smaller than expected........,3.0
232,"This is differently something that people with bigger boobs don't need, they don't fit as well.",1.0
233,I got two of mine in but it was nice to have a spot for underware,-1.0
234,Looks like a nice enough shirt.,-1.0
235,Material is on the thin side.,3.0
236,But BEWARE: you may not get the style you ordered.,2.0
237,"I selected the navy blue shirt and received a navy blue and white striped shirt with a collar and a bear on the breast with the words ""little brother"".",2.0
238,It'll do but I'd really rather have just received the plain shirt I selected.,2.0
239,Very wrinkled and hand washing makes it even worse.,3.0
240,This dress fits great and easy to wear.,1.0
241,I'm a XL or a 12 and I purchased a xxl.,1.0
242,Nice piece of jewelry.,-1.0
243,"Hook gave trouble and had to be replaced but other than that, it's not bad",3.0
244,Ok gloves made by a small child... probably.,1.0
245,Just ok. Design true to picture.,2.0
246,But much bulkier than I thought.,1.0
247,"Well I knew I was pushing it with the sizing when I bought it, but my main issue was that it is neon, not emerald, and I was hoping for a deep Slytherin green.",-1.0
248,"Its a pretty enough bright green, but it also swishes when you move.",2.0
249,"And I cannot recommend this to a lady my size, I'm a size12-14, it fits but manages to flatten my butt, and does no similar feat for my stomach.",1.0
250,"The size range they list are absolute Maximums, any larger and it will compress you to that size, which looks pretty bad on me.",1.0
251,I purchased this shirt with high hopes because I have the perfect pair of shoes to coordinate.,-1.0
252,I was disappointed once I tried it on and it was wayyyyyyyyyy to tight.,1.0
253,"I used the sizing chart provided and even ordered a size up, no dice!",1.0
254,It was way to tight over the bust area and the arms seemed to be cut really small.,1.0
255,I would say if you are going to order this shirt order it 2 - 3 sizes bigger.,1.0
256,"I gave it three stars because other than the sizing issues the shirt was a beautiful color, the fabric was very lux, and the overall quality was good.",-1.0
257,I am kind of bummed that it didn't fit.,1.0
258,It was very pretty when I got it.,-1.0
259,I liked it because it had the adjustable chain on it.,-1.0
260,I bought it for my mother and she loved it too.,-1.0
261,It wound up breaking 4 days later.,3.0
262,It's beautiful but way too big !,1.0
263,Got a XL should of got m or L,1.0
264,"The style is cute  but it fits too small the size cut small  I  order the a extra large size I was Suprise  that it didn't  fit,the material  could be a  better quality,  I have returned  the dress back still waiting  for my refund",-1.0
265,Over the shirt looks exactly as advertised.,-1.0
266,"However, the material of the shirt feels like a raincoat.",3.0
267,This skirt is very pretty.,-1.0
268,The color is true to the image (I got the light pink).,2.0
269,But the waistline is a mess.,3.0
270,I mean it's so bad you need to find a way to cover it.,3.0
271,The elastic is all janky and lopsided.,3.0
272,It looks like a home-ec project done by a 12 year old.,3.0
273,Get a belt or something else that can cover it up.,-1.0
274,No self respecting adult would wear that waist band.,3.0
275,"I would give it 1 star, but it's so cheap I feel like this is a ""get what you pay for"" situation.",3.0
276,Not what the pic looks like,2.0
277,Items is great however it runs a lot larger than expected.,1.0
278,I reviewed numerous over reviews so I ordered a size down than what I typically would and it is still a bit big.,1.0
279,"However,  other than being a bit larger it looks good.",1.0
280,It's cute however the sides are high at the bottom of the shirt which means unless you want people to see your skin or tummy you have to wear some sort of tank under it.,-1.0
281,Not sure how that will be possible since its strapless.,-1.0
282,Its ok but because it's small I haveto keep pulling it down or it falls off my head.,1.0
283,It fits my teen daughter just fine tho.,1.0
284,It's just for give away.,-1.0
285,"It fits and looks just like the images, but it had a weird odor.",-1.0
286,Kinda Musty - I had to wash it and soak it in fabric softener to get rid of the smell.,3.0
287,"Very good material, but the dress old fashion style.",3.0
288,Not as sexy as it looks.,-1.0
289,a bit smaller than expected,1.0
290,I had to get a smaller size for my 4 yr old granddaughter.,1.0
291,I size 4 was too big.,1.0
292,"This costume is cute, but the one I received was not only small, but it was also all stuck together in the package.",1.0
293,When I pulled it apart the color where the skirt had stuck together was damaged.,3.0
294,okay for the price.,-1.0
295,About a cup size too small,1.0
296,This hat is cute but the measurements are off.,-1.0
297,"The crown on the hat I received is 3"" deep - not 4.5"" as stated.",1.0
298,This makes a big difference in the look and fit of the hat.,1.0
299,Thankfully it has a wide brim so that kind of makes up for it.,-1.0
300,"The brim is also much straighter than it looks in the photos, so it fits kind of like a cloche hat.",3.0
301,"I'm a woman so I'm okay with that, but I can't imagine a man wearing this.",-1.0
302,I did receive this lightening fast and well packaged as always with e4hats!,0.0
303,A little too wide  but nice overall,1.0
304,I wasn't thrilled with this shirt.,-1.0
305,"It didn't look like I thought it would, and the material was a bit cheap feeling.",3.0
306,"I thought it would have more of the ""cold shoulder"" look, but it doesn't.",-1.0
307,You can barely see the detail of the straps.,3.0
308,"pockets are a bit large, but overall its an ok product.",-1.0
309,Cheaper looking than expected.,-1.0
310,Will work great after some fixing.,3.0
311,Definitely did not look like the picture.,2.0
312,The top portion is a bit see through.,3.0
313,"They placed those foamy pads where the breasts go and it just looks awful, need to remove or find a way to get a light fabric to cover it and make it not see through especially in that area.",-1.0
314,It's beautiful but a bit cheaply made.,3.0
315,Not bad for the cost.,-1.0
316,This was very cute...,-1.0
317,But the bottom was smaller so if you have thick thighs it's a no...,1.0
318,I washed it once and it fell apart... Do not buy unless you only want it to wear once...,3.0
319,This is a super cute top but it is so small!,-1.0
320,I ordered a size up and it is too tight across my bust.,1.0
321,These are mostly what I expected for the price.,-1.0
322,"They are slightly bigger than expected, and seem cheaply made, but have been durable so far.",-1.0
323,Am looking for magnetic clasps to replace what is on them as the current ones make them hard to put on snugly.,-1.0
324,"A little more sheer than expected, but I always wear long tops with leggings, so not a very big deal.",-1.0
325,It was the length of a shirt.....,-1.0
326,Image and text are pretty pixilated...I have seen the image before it looks like a low res copy.,2.0
327,Not worth the price.,-1.0
328,This wasn't the worse dress but I agree it looks like someone drapes!!,-1.0
329,Not wasn't what I expected,-1.0
330,"My daughter absolutely Loved the shoes, however, the plastic pulled from the toe and I had to send them back.",3.0
331,Fits okay..size chart a little off...,1.0
332,little bit more vibrant then I thought,-1.0
333,"Cute when brand new, but not so after the laundry cycle.",-1.0
334,"The rouching got more out of shape with every trip through the washer and dryer: tight in some spots, baggy in others.",3.0
335,OK for a single occasion where you want baby to have cute little Mary Jane feet.,1.0
336,Size runs a little small.,1.0
337,"Sleeves are a little  long, go figure.",1.0
338,"Smaller then expected , and color is not that noticeable !",1.0
339,Very Cute but runs SMALL,-1.0
340,The swim suit is cute but it runs short.,-1.0
341,U have to have a very short torso,1.0
342,I wish there was a size X small.,1.0
343,The small/medium was perfect right after my section but once the fluid was off my belly the small medium doesn't give the compression to my scar that I would like.,1.0
344,I like it but it was more of a long sweater than a dress.,-1.0
345,"Really cute bathing suit, although it runs a little small and I wish the tassels were longer.",1.0
346,It will do nicely as a back up suit :),-1.0
347,"I read some reviews advancing to size up because it was small, so I did, and I ended up with a s*** two sizes bigger than I needed.",1.0
348,I guess it depends on your body proportions.,1.0
349,Also this blouse is not all that pretty in person but I will definitely wear it sometime,-1.0
350,Just received it and tried it on.,-1.0
351,I have a 29in waist and ordered the medium.,-1.0
352,"I'm starting off on the second row of hooks already, as the first row is too big.",1.0
353,"Not sure that if I'd ordered the Small, it would have fit at all.",1.0
354,I have a size Med Squeem that is now too big but the size Small is too small so I opted for this one because it has 3 rows of hooks.,1.0
355,Squeem should make theirs with 3 rows as well.,1.0
356,It's a lot softer on the inside than my Squeem.,3.0
357,I'll update my review to see if this one gets better.,-1.0
358,UPDATE: I returned it.,-1.0
359,"After putting it on, it bunched up in the back and the sides.",1.0
360,"Didn't have as much compression as I prefer, maybe because the material felt so lightweight?",3.0
361,"I love the shirt, but for some reason it took a REALLY REALLY long time to ship",0.0
362,All I have to say is I should have gotten an Extra Large.,1.0
363,Other than that the coat is actually very decent for the price.,-1.0
364,"Thought it had pockets though
Disappointed there are none",-1.0
365,It is tight fitting with long sleeves and the material is light and thin.,-1.0
366,One issue is that the zipper gets stuck easily.,3.0
367,The colors online are very accurate to what you get.,2.0
368,The colors don't bleed or anything.,2.0
369,I returned mine because it wasn't the material I was looking for and the sleeves are too long.,-1.0
370,The shirt is really pretty.,-1.0
371,"All the reviews said to follow the size chart because it tends to run small, so I did and the shirt is way too large for me.",1.0
372,Extra Large fit as a normal large would have been.,1.0
373,Could have been just a tad bigger.,1.0
374,Fits okay but the fabric is too stiff,3.0
375,"Lava Beads and Glass Beads are really nice, but the Hamsa Hand is made of plastic not metal which means eventually the silver paint will come off.",3.0
376,The elastic strings that the beads are threaded on is starting to frey so I don't wear much.,3.0
377,I may cut them open and re thread on the clear plastic stretchy string and replace the plastic Hamsa Hands with metal ones.,3.0
378,I really like the jewelry and would like to wear almost every day but can't until I go to AC Moore to make changes.,-1.0
379,"This ""sweater"" is not what I expected - it is comfortable but not something I'd usually buy.",-1.0
380,"I really liked the print and have worn it a couple times but, I am really disappointed in the fabric.",3.0
381,"The fabric shown in the picture shows a light, cotton blend that you can slightly see through but, that is not close to what I received.",3.0
382,It seems to be a pretty hardy blend though.,3.0
383,Will update if it wears or washes out quickly.,-1.0
384,** grey sweater with colorful sleeves **,2.0
385,Very hard to get my cards out once they are in this.,-1.0
386,"I only carry 4, my cash is ok.",-1.0
387,"Bottom hem not as shown in picture, so shirt not as flattering.",-1.0
388,Fabric ok. Not at all as presented in picture.,3.0
389,"not too  bad nice and cool for the summer
look OK  i like it",-1.0
390,Really not one size fits all.,1.0
391,You should show the label in order to recognize the correct size,1.0
392,Build quality seems fine to me.,3.0
393,I've worn these a few days.,-1.0
394,"They are easy to adjust, and I usually forget I'm wearing them they're so comfortable.",3.0
395,"As others have said, the fasteners here will only work on verrrry thin socks, or, as long as the top 1"" of your socks are very thin.",3.0
396,"Like, on a scale of 1-10, 1 being women's panty hose and 10 being thick wool boot/winter socks, your socks couldn't be much thicker than a 2.",-1.0
397,"I guess the designers opted for this fastener design so as to reduce risk of damage to the socks attached to them, whereas something simpler and stronger like alligator clips would eventually eat through a sock.",-1.0
398,I am petite and this was to long for me.,1.0
399,I had to return it.,-1.0
400,"Love the color of this dress, but wish there was less material at the waist.",-1.0
401,"I have a slender build and small chest, and the dress seems to droop awkwardly in the front between the neckline and the waistline.",1.0
402,"I think it can be altered to fit better, but would recommend ordering smaller than you normally wear if you have a smaller build.",1.0
403,Good quality tights for the price.,3.0
404,Waist is small and does not stretch a lot.,-1.0
405,it's a bit difficult getting past my upper thighs and butt.,1.0
406,So perhaps medium would've been better.,1.0
407,It was completely sheer and I am a c-cup and it was too tight even in an XL.,1.0
408,super SHORT... not a dress... decent fabric and workmanship...,-1.0
409,But I ordered through Prime and didn't get them until 7 days later.,0.0
410,"Not the greatest quality, but you get what you pay for.",3.0
411,"I'm a curvy size four and the small was too tight, so I would recommend ordering up.",1.0
412,Cute suit ..but way toooooo small.,1.0
413,Be sure to order 2 sizes up to get close!,1.0
414,beautiful dress but way too long and would be impossible to shorten and save bottom.,1.0
415,slip shoes through dress.,1.0
416,These were to replace a pair of NB Walking Shoes of similar style.,-1.0
417,I like them and they fit okay but are a bit tight.,1.0
418,The toe box is wide enough but not deep and the shoe is not quite as lengthy as the old shoe of the same size.,1.0
419,I'm keeping them because they are wearable and I think they will break in well enough.,-1.0
420,"I was under the impression this was gonna be more of a sweatshirt, but it's pretty thin material.",3.0
421,This product ships from China and the sizing is for small busted women.,1.0
422,Bottoms fit but the top runs small,1.0
423,Took over a month to get here !,0.0
424,Looks exactly like the picture though.,-1.0
425,"The material is pretty cheap too, as if the pattern part is gonna come off shortly.",3.0
426,I love this print and have it in a top.,2.0
427,"The ""leggings"" are thin, made of a similar material to the top.",3.0
428,But I still like them.,-1.0
429,Just gotta remember matching undies.,-1.0
430,These pants are similar to a pantyhose feel!,-1.0
431,Very thin but not too see through.,3.0
432,Pretty snug for an XL.,1.0
433,It's what I would normally wear but felt more like a M/L size.,1.0
434,I thought this was really poor quality and super ugly when it first showed up on my door step.,3.0
435,"After washing it, it's actually not so bad.",-1.0
436,Still not the highest quality but looks way better than it originally did.,3.0
437,"However, not as awesome as the picture for the product.",2.0
438,Needed  next size.,1.0
439,"too tight...i am 5'4, 120 lbs.",1.0
440,"zipper on the side, too tight for me.",1.0
441,i purchased a small size.,1.0
442,i aint crazy about the fabric.,3.0
443,But like price like fabric,3.0
444,alot shorter that it shows in the picture,1.0
445,My daughter loves it...,-1.0
446,"Normally she is a size medium Juniors...5'3"" and 125 lbs.",1.0
447,I ordered a Large...,-1.0
448,It just fits without being bagging...,1.0
0,Just wish she'd won.,-1.0
1,I like them but I ordered the wrong size and I found the proper size somewhere else.,1.0
2,So I had to return them,-1.0
3,"Beautiful coat, just to small, the sizing details says to order one size up I ordered 2 sizes up to be safe, and it was still small.",1.0
4,even with the size chart is off.,1.0
5,I wish they had it one size larger.,1.0
6,"I'm 5'2"", 108 lbs,  athletic build and this small sweater was a little loose on me, need an xs but they do not sell xs.",1.0
7,"Would be more flattering if it had a tighter fit, but still looks beautiful on the back so I am keeping it.",1.0
8,"Color is beautiful,small through the bust.",2.0
9,"Didn't quite get it in time for Christmas, but the pants are really cute and really soft.",3.0
10,Fit my daughter perfectly.,1.0
11,Size is as expected and the quality was exceptional.,-1.0
12,Would definitely order more like this from this seller.,-1.0
13,Love it but should have ordered a small rather than medium.,1.0
14,If you are slim and tall it will still look great with heels :) I am 5'8 and 145 lb,1.0
15,They are your standard Vans Slip on shoes.,-1.0
16,"They run in the same sizes as my Converse, so they fit well.",1.0
17,"I tried a pair on in the stores thinking I would wear a 7.5 as that is what I would wear in my tennis shoes, but that was a bit too big and a 6.5 was just too small.",1.0
18,The 7 that I got fit perfectly.,1.0
19,My left shoe has something like a flaw where the ball of my foot touches when I step down.,3.0
20,"It's not like that in the right, so I am assuming it's just a small flaw, but it's not a big deal.",3.0
21,I am sure over time I won't eel this anymore.,-1.0
22,"Like Converse, I cannot wear shoes like this for too long.",1.0
23,"If I were going to walk for a long time I would not wear these shoes, but I have trouble wearing shoes with little support.",-1.0
24,I do like them though!,-1.0
25,"(Don't mind the cat hair in my photos, I can't bring anything home without cat hair clinging to it instantly as I bring it in!)",-1.0
26,I ordered this for myself.,-1.0
27,Wanted something sparkly to wear.,-1.0
28,It is a very pretty ring.,2.0
29,"I ordered a size 5, which is the smallest that it came in.",1.0
30,I did have to take it to be re sized as it was still too big.,1.0
31,It actually measured in at a 5.5.,1.0
32,"I will say even after having it resized it is still a bit  big
on my finger.",1.0
33,The band is slim and the stone large which causes it to flop from side to side.,1.0
34,I will have to have a ring sizer placed on the bottom of the band if I want it to sit upright without moving.,3.0
35,"So, in the end although the price for the ring is good with all the added money that I have spent
to get it to look the way I want it is a bit more than what I had intended to pay for a costume piece.",3.0
36,"That being said I am very petite so maybe the ring
does better on someone with a more average sized hand/finger, I still like the ring and really have no regrets with the purchase.",3.0
37,"It's good but, the edges keep unsticking to my skin.",-1.0
38,I prefer the gel kind better.,3.0
39,"Fit great, it's a good comfortable cotton tshirt.",3.0
40,Nice socks to wear.,1.0
41,Great for important business meeting and to bring some spicy flavor to the office.,3.0
42,However 2/6 of them are super difficult to fit over the heel.,1.0
43,"I am giving it a 4 because it did run a little small, but I was still able to squeeze into it ;).",1.0
44,I got sooo many compliments on this dress!,1.0
45,"It is pretty short, so if you are taller you may want to take that into consideration, or you may be wearing it as a shirt.",3.0
46,"I am 5'4"" and I think if I was any taller I may have not been able to wear this.",3.0
47,"But for all you short girls out their, buy this dress!",2.0
48,"You will make every other girl jealous, haha.",-1.0
49,It's a thumbs up from me.,-1.0
50,This is very cute.,2.0
51,I gave it as a gift.,-1.0
52,"The only complaints I have are the picture is blurry,you cannot actually see facial details on Jack or Sally.",3.0
53,It is more like a silhouette picture & the charm hangs a bit behind the moon when worn.,3.0
54,Otherwise she loved it.,3.0
55,"Bought this mask for a Masquerade Ball, it is super cure and good quality!",-1.0
